DATE,gold_close,gold_open,gold_high,gold_low,gold_change_pct,gpr_index,gpr_action,gpr_threat,log_price_change,open_close_diff
1985-07-22,317.2,317.2,317.2,317.2,-0.53,133.74,225.63,51.33,-0.005345084255318992,-1.6999999999999886
1985-07-23,322.5,322.5,322.5,322.5,1.67,167.20,145.85,191.16,0.016570646475134343,5.300000000000011
1985-07-24,317.7,317.7,317.7,317.7,-1.49,145.21,199.05,120.75,-0.014995594960356759,-4.800000000000011
1985-07-25,317.4,317.4,317.4,317.4,-0.09,81.19,80.94,94.52,-0.0009447331831618585,-0.30000000000001137
1985-07-26,316.9,316.9,316.9,316.9,-0.16,82.40,82.15,82.22,-0.0015765413954336146,-0.5
1985-07-29,326.5,326.5,326.5,326.5,3.03,120.96,129.87,123.8,0.0298436820196107,9.600000000000023
1985-07-30,325.2,325.2,325.2,325.2,-0.4,124.10,114.20,111.13,-0.003989571042830312,-1.3000000000000114
1985-07-31,327.5,327.5,327.5,327.5,0.71,106.54,96.56,96.65,0.007047677401651153,2.3000000000000114
1985-08-01,322.1,322.1,322.1,322.1,-1.65,140.76,149.68,124.85,-0.016625998738153437,-5.399999999999977
1985-08-02,320.5,320.5,320.5,320.5,-0.5,75.10,66.55,97.14,-0.004979779976428517,-1.6000000000000227
1985-08-05,323.7,323.7,323.7,323.7,1.0,62.50,62.31,51.97,0.009934884571473849,3.1999999999999886
1985-08-06,320.0,320.0,320.0,320.0,-1.14,116.64,93.02,135.79,-0.011496165138426363,-3.6999999999999886
1985-08-07,321.1,321.1,321.1,321.1,0.34,95.39,69.16,100.95,0.0034316053016959992,1.1000000000000227
1985-08-08,322.7,322.7,322.7,322.7,0.5,42.04,50.29,41.95,0.0049704979624478705,1.599999999999966
1985-08-09,321.6,321.6,321.6,321.6,-0.34,95.79,111.41,79.65,-0.0034145617531047582,-1.099999999999966
1985-08-12,326.9,326.9,326.9,326.9,1.65,120.63,129.50,108.02,0.016345776425353477,5.2999999999999545
1985-08-13,326.7,326.7,326.7,326.7,-0.06,76.64,101.87,56.65,-0.0006119951231403796,-0.19999999999998863
1985-08-14,326.0,326.0,326.0,326.0,-0.21,101.09,108.53,77.59,-0.0021449372403167946,-0.6999999999999886
1985-08-15,331.3,331.3,331.3,331.3,1.63,53.31,45.55,50.66,0.01612692793914255,5.300000000000011
1985-08-16,335.3,335.3,335.3,335.3,1.21,59.29,59.10,49.3,0.012001344166332624,4.0
1985-08-19,341.1,341.1,341.1,341.1,1.73,104.41,94.62,110.5,0.01715003595241718,5.800000000000011
1985-08-20,334.4,334.4,334.4,334.4,-1.96,83.44,116.46,55.51,-0.019837808214053582,-6.7000000000000455
1985-08-21,335.9,335.9,335.9,335.9,0.45,167.72,234.09,125.52,0.0044756154077004095,1.5
1985-08-22,335.5,335.5,335.5,335.5,-0.12,108.10,76.98,115.57,-0.0011915402065104839,-0.39999999999997726
1985-08-23,334.8,334.8,334.8,334.8,-0.21,72.01,95.72,39.92,-0.002088617796416233,-0.6999999999999886
1985-08-26,337.6,337.6,337.6,337.6,0.84,70.29,70.08,58.45,0.00832842410648191,2.8000000000000114
1985-08-27,336.0,336.0,336.0,336.0,-0.47,112.29,111.94,93.37,-0.004750602758597865,-1.6000000000000227
1985-08-28,340.9,340.9,340.9,340.9,1.46,77.76,77.52,77.59,0.014478019180653017,4.899999999999977
1985-08-29,337.2,337.2,337.2,337.2,-1.09,131.63,102.06,133.77,-0.01091295301615695,-3.6999999999999886
1985-08-30,333.2,333.2,333.2,333.2,-1.19,65.11,32.46,81.21,-0.011933315835012727,-4.0
1985-09-03,328.2,328.2,328.2,328.2,-1.5,84.94,150.54,15.7,-0.015119731636697113,-5.0
1985-09-04,326.0,326.0,326.0,326.0,-0.67,66.42,99.32,27.61,-0.00672579728928289,-2.1999999999999886
1985-09-05,326.0,326.0,326.0,326.0,0.0,59.82,74.55,37.31,0.0,0.0
1985-09-06,317.6,317.6,317.6,317.6,-2.58,89.34,54.81,102.87,-0.026104651993726948,-8.399999999999977
1985-09-09,319.6,319.6,319.6,319.6,0.63,84.94,94.08,78.48,0.00627748451913903,2.0
1985-09-10,321.6,321.6,321.6,321.6,0.63,120.02,63.81,146.37,0.006238323412691718,2.0
1985-09-11,321.0,321.0,321.0,321.0,-0.19,151.95,90.89,176.89,-0.0018674141747954732,-0.6000000000000227
1985-09-12,319.5,319.5,319.5,319.5,-0.47,73.61,73.39,73.45,-0.004683849312426314,-1.5
1985-09-13,321.3,321.3,321.3,321.3,0.56,103.30,82.39,114.53,0.005617992304223274,1.8000000000000114
1985-09-16,319.5,319.5,319.5,319.5,-0.56,95.33,79.19,92.48,-0.005617992304223261,-1.8000000000000114
1985-09-17,317.8,317.8,317.8,317.8,-0.53,124.86,161.09,109.94,-0.005335019714973833,-1.6999999999999886
1985-09-18,316.5,316.5,316.5,316.5,-0.41,126.49,126.10,118.33,-0.004099012518384807,-1.3000000000000114
1985-09-19,316.5,316.5,316.5,316.5,0.0,126.59,140.23,105.27,0.0,0.0
1985-09-20,319.1,319.1,319.1,319.1,0.82,104.39,13.88,162.03,0.008181291699966958,2.6000000000000227
1985-09-23,327.7,327.7,327.7,327.7,2.7,115.36,131.44,95.93,0.026594022420570924,8.599999999999966
1985-09-24,327.9,327.9,327.9,327.9,0.06,110.66,117.68,110.43,0.0006101281458335731,0.19999999999998863
1985-09-25,328.5,328.5,328.5,328.5,0.18,120.84,85.04,130.04,0.0018281540740626235,0.6000000000000227
1985-09-26,329.2,329.2,329.2,329.2,0.21,174.71,167.21,174.34,0.0021286308782494,0.6999999999999886
1985-09-27,329.2,329.2,329.2,329.2,0.0,144.02,114.87,155.69,0.0,0.0
1985-09-30,326.0,326.0,326.0,326.0,-0.97,104.06,86.45,115.37,-0.009768087436207072,-3.1999999999999886
1985-10-01,322.5,322.5,322.5,322.5,-1.07,154.24,87.87,183.23,-0.010794245130880512,-3.5
1985-10-02,325.2,325.2,325.2,325.2,0.84,184.03,176.13,171.39,0.008337241437828343,2.6999999999999886
1985-10-03,325.1,325.1,325.1,325.1,-0.03,100.99,107.39,78.38,-0.0003075503637958095,-0.0999999999999659
1985-10-04,328.0,328.0,328.0,328.0,0.89,159.82,159.32,169.14,0.008880781074284005,2.8999999999999773
1985-10-07,326.0,326.0,326.0,326.0,-0.61,88.44,96.19,80.23,-0.006116227017436094,-2.0
1985-10-08,326.6,326.6,326.6,326.6,0.18,134.72,189.61,92.26,0.0018387991696570834,0.6000000000000227
1985-10-09,326.8,326.8,326.8,326.8,0.06,162.45,253.49,82.22,0.0006121824494829835,0.19999999999998863
1985-10-10,325.7,325.7,325.7,325.7,-0.34,102.24,135.90,79.35,-0.003371650703660123,-1.1000000000000227
1985-10-11,325.8,325.8,325.8,325.8,0.03,82.13,81.88,79.68,0.0003069838857569999,0.10000000000002274
1985-10-14,325.8,325.8,325.8,325.8,0.0,138.44,236.59,32.89,0.0,0.0
1985-10-15,327.2,327.2,327.2,327.2,0.43,190.47,280.70,110.18,0.004287908560647114,1.3999999999999773
1985-10-16,323.9,323.9,323.9,323.9,-1.01,106.61,106.28,113.98,-0.010136778551308458,-3.3000000000000114
1985-10-17,325.7,325.7,325.7,325.7,0.56,122.39,162.68,67.84,0.005541886104904206,1.8000000000000114
1985-10-18,326.5,326.5,326.5,326.5,0.25,118.31,188.71,39.35,0.0024532364342979146,0.8000000000000114
1985-10-21,326.4,326.4,326.4,326.4,-0.03,129.90,97.13,135.02,-0.00030632562653383163,-0.10000000000002274
1985-10-22,328.0,328.0,328.0,328.0,0.49,75.67,67.05,83.89,0.00488998529419177,1.6000000000000227
1985-10-23,325.9,325.9,325.9,325.9,-0.64,102.60,131.51,97.5,-0.006423022540627935,-2.1000000000000227
1985-10-24,326.4,326.4,326.4,326.4,0.15,71.09,85.04,47.29,0.0015330372464360173,0.5
1985-10-25,325.6,325.6,325.6,325.6,-0.25,85.30,99.21,82.75,-0.0024539889615665914,-0.7999999999999545
1985-10-28,326.5,326.5,326.5,326.5,0.28,41.41,49.54,27.55,0.002760314588100466,0.8999999999999773
1985-10-29,326.5,326.5,326.5,326.5,0.0,47.32,94.35,39.35,0.0,0.0
1985-10-30,326.4,326.4,326.4,326.4,-0.03,35.24,14.05,46.89,-0.00030632562653383163,-0.10000000000002274
1985-10-31,325.3,325.3,325.3,325.3,-0.34,109.45,87.29,109.21,-0.003375789610646105,-1.099999999999966
1985-11-01,323.7,323.7,323.7,323.7,-0.49,100.15,61.44,115.3,-0.0049306725471071405,-1.6000000000000227
1985-11-04,325.6,325.6,325.6,325.6,0.59,155.56,91.23,182.62,0.0058524731961867235,1.900000000000034
1985-11-05,324.8,324.8,324.8,324.8,-0.25,107.39,82.35,109.91,-0.002460025840862423,-0.8000000000000114
1985-11-06,324.6,324.6,324.6,324.6,-0.06,63.30,70.11,46.79,-0.0006159532070320607,-0.19999999999998863
1985-11-07,323.2,323.2,323.2,323.2,-0.43,92.02,42.34,117.71,-0.004322328433550617,-1.400000000000034
1985-11-08,322.2,322.2,322.2,322.2,-0.31,70.03,83.78,58.23,-0.0030988559040662565,-1.0
1985-11-11,323.3,323.3,323.3,323.3,0.34,59.76,85.11,28.4,0.003408213988513474,1.1000000000000227
1985-11-12,323.3,323.3,323.3,323.3,0.0,88.57,123.62,73.65,0.0,0.0
1985-11-13,324.5,324.5,324.5,324.5,0.37,79.91,28.97,108.73,0.0037048514127572527,1.1999999999999886
1985-11-14,325.5,325.5,325.5,325.5,0.31,97.02,82.90,92.2,0.00307692550447932,1.0
1985-11-15,325.6,325.6,325.6,325.6,0.03,86.79,43.26,120.28,0.0003071724797613057,0.10000000000002274
1985-11-18,323.7,323.7,323.7,323.7,-0.58,132.86,35.32,191.49,-0.005852473196186663,-1.900000000000034
1985-11-19,324.6,324.6,324.6,324.6,0.28,97.19,96.89,94.29,0.002776494148292223,0.9000000000000341
1985-11-20,325.9,325.9,325.9,325.9,0.4,103.25,120.09,71.55,0.003996930763024812,1.2999999999999545
1985-11-21,325.8,325.8,325.8,325.8,-0.03,73.32,66.45,66.51,-0.00030688967557097825,-0.0999999999999659
1985-11-22,326.7,326.7,326.7,326.7,0.28,138.02,76.44,191.28,0.0027586224390796607,0.8999999999999773
1985-11-25,330.4,330.4,330.4,330.4,1.13,151.79,231.43,89.09,0.0112617230397985,3.6999999999999886
1985-11-26,331.5,331.5,331.5,331.5,0.33,54.95,31.30,65.27,0.0033237679790942055,1.1000000000000227
1985-11-27,328.4,328.4,328.4,328.4,-0.94,89.73,119.27,49.74,-0.00939543204764412,-3.1000000000000227
1985-11-29,328.4,328.4,328.4,328.4,0.0,93.21,85.78,119.24,0.0,0.0
1985-12-02,321.7,321.7,321.7,321.7,-2.04,77.04,68.27,71.18,-0.020612943333292444,-6.699999999999989
1985-12-03,322.8,322.8,322.8,322.8,0.34,15.52,15.47,12.9,0.0034135021508132496,1.1000000000000227
1985-12-04,324.2,324.2,324.2,324.2,0.43,90.76,90.48,88.04,0.004327672905782028,1.3999999999999773
1985-12-05,323.0,323.0,323.0,323.0,-0.37,62.50,55.39,57.75,-0.003708286078919098,-1.1999999999999886
1985-12-06,322.3,322.3,322.3,322.3,-0.22,84.94,56.45,105.94,-0.002169534401264355,-0.6999999999999886
1985-12-09,317.6,317.6,317.6,317.6,-1.46,98.39,130.79,54.54,-0.014690059448411523,-4.699999999999989
1985-12-10,317.2,317.2,317.2,317.2,-0.13,92.72,84.03,98.12,-0.0012602396122878884,-0.4000000000000341
1985-12-11,315.5,315.5,315.5,315.5,-0.54,84.76,42.25,105.72,-0.005373807779425056,-1.6999999999999886
1985-12-12,317.7,317.7,317.7,317.7,0.7,76.68,91.73,76.51,0.006948859294202598,2.1999999999999886
1985-12-13,318.0,318.0,318.0,318.0,0.09,42.93,57.06,23.8,0.0009438415047063485,0.30000000000001137
1985-12-16,318.6,318.6,318.6,318.6,0.19,67.60,101.09,28.11,0.0018850146957714257,0.6000000000000227
1985-12-17,321.1,321.1,321.1,321.1,0.78,73.61,65.23,68.01,0.00781620361952007,2.5
